"a mouse and house
met a house and a mouse",
"Seven songs through the five hour trip 
we made a second stop. Turning around on 
a one lane mountain made my skin singe 
but the peaches were a salve. You 
fed me juicy bites as we sped, deciding 
fresh peach ice cream wasn’t exciting enough 
you mixed in chunks of peaches, skinned and 
bitten from our stash. They were meant to 
last the ride but survived barely longer
than my mom's rhubarb in the snow. Plants 
fill the grated holes in my heart and 
that’s why - the day I tried to shred our love - 
I brought you a cactus. Home Depot is 
a cavern where I’ve cried on paint chips and 
called out, waiting for the echo 
of peaches on lips and juices 
on seats and tires on gravel - sliding. 
Why did you name the cactus Peaches?",
"I drip with sweat in the midday sun, 
though she doesn’t seem to mind. Tracing 
her fingers across my condensation 
she makes clear a patch on my side and 
stares through me. I swell with pride 
when she asks for more. Years later, 
I’ll be the taste to remind her
 
of summer days with ancient neighbors; 
of playing in the garden and grooming their dog;
of their sloping yard and the immense creek. 
Sometimes she would take me to the water’s edge 
and sip as she dipped her toes. I remember 

the day she poured me out, an offering 
to the fragile fish who were thirsty, 
a tithe for the tide, meant to share her joy 
and expand mine. I mixed with the water, 

saw crawfish and tadpoles and more. 
Shared my pulp with the shore and 
my sugar with the silt and let myself settle 
to the bottom of this shrine. I stared 
up through a glittering new window, 
warmed myself with the view. A child, 
curious, sweet, unceasing. 
Empty glass in hand, she turns from me
and clamors up the slope in search of more.",
"Self-loathing is fleece, to be
slipped into early on the coldest days. 
Comforting, known, surprisingly 

durable. It’s been washed and wrung 
and hung to dry and even though mom 
thinks it’s unbecoming, I can’t stop wearing

it. Today my face is fog as I lean across
reality to pop zits in the bathroom mirror. 
Who is betrayed when toothpaste spatters,

misses the brush? White flecks on steam.
Given one chance at functionality, 
I still miss. But, bedraggled and brazen

there is strength to arise in the morning, 
even not knowing when purpose will come. ",
"every day I feel 
more and more
on the verge of tears.

I hold back the floodgate, 
try to seal the tap tight, it won’t go
righty-tighty, I know—

I turn and I turn, my head 
and my eyes, I beg on my knees 
of the self, in its spite;

but see, the lilacs quiver in the breeze;
in humid air they loosen and unbind and twist,
bearing a sweet scent,

or a thrush soars high among the trees,
his song trickling in through my ears, oiling 
the stubborn spigot, which gives in

and spins left, I think,  
plenty of tears left, and I think	
a leak is beginning to spring. ",
"Far too many books 
on the shelf in the shop; 

they’re staring me down 
from their ledges.

Gilt volumes of Judaica wink,
the glint of gold edges

inviting, but which dish to choose
in this banquet? I’m already full

of the heaps of anthologies 
on whom I heap apologies,

because there are too many 
good poems to read them all through. 

Every month, another slew 
of well-designed covers 

trendy fonts on pleasant colors,
and someone’s life’s work,

side-by-side with a fruity graphic novel—
a tragedy for my distracted eye. 

When I go home with some collection,
some tongue-tangle of short stories,

another revolution’s meal, good for nothing—
it will be but a nibble,

hardly a meaningful sample 
of the pages I’ll never taste. ",
"Heads bob like buoys in 
the swell of bus suspension
while those standing cling 
with barnacle grip avoiding the drift
of a sudden current shift.
Placid faces sink towards
heavy shoulders and little anchors 
weigh down eyelids with visions
of waves and sun floating
across those dark lids.   ",
"Between layers of green, you wait. Fingers of leaves
grappled at you when you walked the path I painted.
Don’t trip on the century old branches. They read your 
mind, write messages in soil you walk over. ",
"I painted you in camouflage. Somewhere among splotches, 
sitting on a bark thrown, your amber eyes watch for me: a
prince of seventeen, handcuffed to a horse and housed 
within a name I race to escape from.   

My horse, a paintbrush and I, a prince. ",
"I stroke fervorously to get to you. In the painting, night and
day are one: time a puddle I elongate with colored oils. Boughs
and branches grow and my body is now stained the yellow
of your eyes right before I told you I couldn’t stay. ",
"Paint takes years to dry if you know what’s behind the colors and
the shifting shade of your auburn eyes is now lost in a forest. I
rock my body through that forest I painted when I forget how to 
tell time, and reach for the sword of the prince I was to you. ",
"I’m allowed to tuck him in 
but I can’t stay the night 
so he spoons my figure 
protected by linen and down 
like when we still had sex 
with condoms before my HIV test. 

The living room lights are dimmed 
where his mom is pretending to sleep
on the couch where he blew me last week, 
where we drink coffee and eat Oreos. 

I close the door behind me 
and ring for the elevator, 
stepping inside the infinity 
of the mirrored walls. 
I breath on the glass and 
I can’t see my face in the fog.",
"I just want to be stupid she says as she undresses
halfway, the strap of her tank top falling
over pale bruises on her arms and wrists,
soft purples and sad blues of yesterday’s
roughing painted like water-colored lilies on her 
faint skin.  She calls me at midnight. Madison,

 I did it again. 

I wonder if she sees his face on a crucifix, if her wine 
on Sundays is just a glassful of her own blood, the bitter 
red she licks from her wounds, the ones he’s caused. 
He thinks it tastes sweet. If her Hosanna isn’t meant 

for God or coin of unleavened bread but to some mal-
boy whose polo she folds alone in his room while he’s
in class or grabbing a bite, just to have a second with him.
Alone. 

He speaks with spit, poisonous and disguised

as ADD, OCD, dysgraphia, schizophrenia, manic 
depression, whatever diagnosis she believes
this time. This bruise. This tea bowl of tears 
that she will reheat in the kettle and sip once again,
or chug, or inject, whatever seeps into the bloodstream 

faster. I suggest AA, NA, CA, whatever letters can pull
her out of the pit. She says I’m done. She’s lost her appetite
but I’ve learned those words meant she’s hungry for more.",
"This body is a ranch house
not known for its coziness. 
Inside, I can hear everything

Noises like cries
are echoing within,
but my guests don’t notice.

Today I found the culprit
– a bird’s nest in the garage –
so I’m finally evicting them

The mom and her two speckled eggs
not enough for a birthday cake
or a breakfast I wouldn’t eat.

But tenants don’t have to feed their hosts
and they’re moving out anyway. ",
"I am one of them, and not. 
In a room full of people
	sophisticated, intelligent, capable
I am the odd man, quiet in a corner
Who listens to words 
incomprehensible 
Struggling to piece together a sentence
To match.
Ink bleeds through pages upon
Pages upon
Pages, scratch marks and fat blots of 
Black and blue and red and pink.
As I satisfy myself with one the moment passes
Never to return.

I can feel my participation grade dying.

Invidia hooks her vert nails into me as I stare and wonder
	how the hell can an accounting major
	do my job better than me?
Why I’m not speaking up
Letting my theories and visions breathe.
Instead they wither and suffocate while I smile.
What the hell is the point in thinking
if my thoughts find no release?
Why do I bother
To write and
To read
When I
	clearly cannot match them
never speak my mind?

I confine my analysis to the cage
Of academic essays, literary works
And leave the talk to the professionals while I
Pretend it doesn’t bother me 
When I tell them of my passions.
Ignore their reactions
	Wide eyes and slack jaws, tones of 
	Disbelief dotted with sarcasm and
	Pity
As they force a smile, say
“I’d never take you for an English major!”

Show me the work of Byron
And I will note the beauty
And despair of an affair come to pass
	Though only in my mind.
Share your work with me.
I will fall silent in awe,
Enraptured by the grace of written word
And images that pull tears from my stubborn eyes.
Ask me,
And you will find a feeble fool
Frightened and tense, tongue twisted—
All I want to say dies on my lips
Becomes a tangled jumble of nonsense
as I fear being found out
	what to say of the rhyme or
	rhythm or syntax
	what do they mean
So instead I offer a sheepish grin and say
“That was nice.”
The disappointment in your eyes is matched only
by the pink tinge of my cheeks that screams
	why can’t I get this right?!
Of embarrassment, regret, frustration,
Loathing more bitter than the taste of coffee,
Burnt beans on my twisted tongue.

I am a fraud among my peers.
Lost, scrambling for answers that come
So easily to them
	why not for me?
Too afraid to let them know
to let them feel the tremble of my heart or
the way my thoughts blow
scattered on the wind
Never complete, always fractured, incoherent and
insensible.
Instead I wait in silence with a synthetic smile
and
	when at last it’s over
retreat into the world my mind has made
Encapsulated within the pages
of sticky notes and sketchbooks,
Notepads and journals
Where I am the master
	or at least I think I am?
and where my pen screams louder
than I could ever hope to be. 	",
"My face looks like an almond in the Rhone: eyes pulled tall
and cheeks dug out to shadowed holes. It’s water pure
unpolluted. 
        The river flows down to the Camargue,
winding between gallops of horses still grown wild. 

Mère said they built the bridge for the sky, so it wouldn’t be 
so hard to reach. Père said they built it for the boats, 
so they had somewhere to go.

			       If I squint my eyes, the brick 
reminds me of the Romans: genius constructs of a Coliseum
no longer used for its intended purposes. 

					My hands 
cup the water: fingers skinny and skin stretched thin over 
bone that grew too long. 
			Piano hands. Painter hands.

But Mère raised me with fields as my pillows, seeds to sow.
My hands are no longer used for their intended purposes. So 
I tuck my fingers in, nails biting into palm, and scoop up

the strange reflection looking at me. ",
"Spring was the rented rooms of a yellow house
the size of my heart. Two bedrooms on ground
floor - a workshop and kitchen upstairs. Four
chambers.
	 The sun got hotter and I painted it. 
Ribbons of rays I wished would shine into 
me. Run through me. Twist around organs 
and the dark-wolf thoughts of the night. 

Make me yellow, too. ",
"Fall climbed in at night through open 
Shutters - so did He. Man with artist 
hands. He saw the sky as a cracked
croissant, melted butted when Dusk
came. 
	Nine weeks and He was my 
pirate. Pillaged the apartment now 
beating with the two of us. Paid rent in
late nights we hid from Arles: his hands
creating a new picture of the body I used 
to be. Acrylic accusations. ",
"He is a dark wolf that sleeps in my heart,
sleeps in the guest room I gave him. 
He paints me into stillness - living inside 
my heart. Bedroom arteries pulsing.",
"The Sun made me sell the Yellow House.
It leaked its buttery golden hues into the night
sky. He is the Yellow House, made it so I could 
no longer paint the stars. I’m not his, I’m not

yellow. ",
"In the middle of many 
ages, of brothers drunk 
on blood of the martyred, 
books in hand, borrowed shoes, 

“There were so many of us then,” 
you’ve almost forgotten their names, but 
I can see their shadow in your eyes, 
each taunt on your lips. If only  

one could turn back ignorance, rewind 
the dial with the stream in its path. 
But you’ve stopped seeing yourself

and started seeing them in the morning. 
Their eyes are mine, too much 
for you, you don’t want to remember 
all lost so you could gain, the rocks 

thrown by guards at the border, 
a young girl shaking past men 
sworn to protect anyone but her, 

anyone born centimeters north 
of battery separating country 

from itself, sibling 	sibling.  
Where do you go?  ",
"During the weeks after you died, I take my place on the train 
amongst siblings I know only from the hunched shape they make 
over their phones. A congregation of sorts, we sway to the god 
of rim and rubber. You would’ve hated him. I remember 

my mother said you beat your children with rosary beads. 
That’s why none take the Eucharist on their tongues anymore. It is February, 
and each naked tree that rushes past my window reminds me of you, 
when you hugged me I could feel the hollow of your body. 

That’s why you fell, I shivered from the wind
that ran past. I want to say you are watching over me, 
through the eyes of your china figurines. But I know you 

aren’t there. Where does a body go 
when it isn’t a body anymore? At night I pray 
and your voice sings out. ",
"Days like this, when I’m not sure  
whether to walk among fishermen 
or tax collectors, zealots or tradesmen–I wonder 
if you bowed to wash their feet in the street. Your hair turned 

their psalms in prayer. I wish I could pick up 
the phone and call you, pull each cord 
closer for comfort. I ask how to make scones. ",
"We can cross the country now 
in record time. There are no guards, 

no passports, no car bombs, just how you dreamed
during The Troubles. Your brothers live 

next to freed captors, their ashes scattered 
in Bonnahill and Belleek. 	If that didn’t mean giving up heaven.",
"I remember the soft, 
waffery, hazelnutty, chocolatey 
crunch of my first Manner cookies, 
given to me and my sister as we kneeled 
outside the local mountainside church 
where maybe seven years later my cousin would be baptized, and I 
remember the cold wet air against my heavily jacketed frame, 
all of which I would think about 
from my grandparents' breakfast room several years later 
as I tried at 13 to be nostalgic 
but the cookies got caught in the poke of my braces wire 
and turned to cement inside my bloody cheek, 
and I'd remember one memory,
the first, 
through the lens of the second and both 
through the third when 
I was handed a square, pink package of Manner a month ago in Vienna, 
by a kind blue eyed George 
with a fake British accent 
and insecurity too vast for his small stature, 
a year younger than me
and saddled with the absolute biggest crush, 
and I'd think of him and the braces and the church and my grandmother 
who first introduced me to the cookies on that rainy late afternoon, 
as I ate the pack that George gave me 
with a different boy 
by the pool a few days later, 
before I fell asleep 
beside him under the sun. ",
"Like the old wooden table 
worn smooth with years of use
I have visited you, decorated you, 
laughed over you, leaned on you, 
ran my hand over the nicks and grooves of you.
I have overlooked you, I have needed you, 
I have draped my weight upon you. 
Like the table, you stood solid. 
Dependable, indifferent. 

I should break you into firewood, 
sell you for something glass. 
Transparency is modern, 
even if it leaves fingerprints like reminders
and comes smooth from factory, 
not memory. 

I could buy a plastic folding 
and have it sit rickety,
hollow when knocked, 
where the old oakwood left
imprints on the pretty carpet. 
I could want you cheap, 
nothing to consider or care for,
easy to clean, to fix, 
to stash away and bring out for company, 
to discard.  

But maybe I'll scrap the table altogether, 
sit on the floor unsupported,
in the too-empty 
defamiliarized space; 
The room will look bigger
and from the carpet the windows will be taller, 
brighter, and viewed from below they will show only the sky. 
I'll pretend you were never there, 
try not to lean back 
absent minded, absent table leg I'll keep leaning
until my back rests on the carpet 
and I look at the chairs, who look
at each other expectant, crowded 
yet purposeless and incomplete. 

The carpet is softer than my solid, lovely
wooden table, more intriguing to run my fingers through, 
willing to support my frame
as my gaze, 
unencumbered by the absent table's dark underbelly
and tangled mess of legs, 
floats up to the sunlit ceiling. ",
"I am
sock-jawed
strong, strung
through candy
rings, each one
bitten and
sucked loose,
spit dribbles on
the neck of the
day. I am depleted,
my raw wire making
tiny squiggles against
sweet, wet skin.",
"“Youth is golden
and eternal if we embrace it.”

Was scrawled hastily,
yet not entirely
insincerely,
at the bottom 
of a gas bill
pinned to the fridge,
as was the custom,
when only one among us was to take on the evening,
riding the wave of dispelled inhibition,
And it made me smile as I wrote it.
And it made them smile as they read it.",
"I'm burning your poem.
There. I said it.
I'm burning your poem.
Most people would think it too...
impolite.
Or they would be entirely too busy
to go so far
to verify, to rectify
this abomination of a beloved art.
They would say,
“Jesus christ in a sidecar! How could you?
Why would you even--
To jot down some poorly punctuated
over-pretentious
quotable nothings on a napkin
and pepper this prestigious, preposterous,
paragraph with ponderous, putrid pastiche!
These self-obsessed black and white photos
are killing me!”
Yet they do nothing.
But not I—no, not I
I am a crusader
and like any warrior for the greater--
nay, greatest—good I will do
what no other would dare.
I'm burning your poem.
You can't write.
Stop fooling yourself.
This is absolute garbage.
Get out of my office.
And have a lovely day.  ",
"grape stems like skeletons
fruits plucked off
by eager hands and lips

popped into mouths and
rolled around on youthful tongues
before being crushed

to squirt seeds so small and meaningless
they could be old hopes
or wet dreams",
"The blue anxiety of an unfarmed park
has us asking what the day will bring.
We are grounded, here, with our neighbors
tethered to leashes of spiteful dogs.
Heedless, they tangle us, but we do not
panic at our mingled compasses. We consent
to the people of this trafficked playground,
if only for an hour, until we respond to
the summons of unbreathable towers,
tightening collars, marshes of the governed – 
that silver heartbreak, where prospectors travel
far from home for promised riches.
Bully nation, this is, but we submit,
vow to serve it through decades of
disease to cultivate a glass recovery.
But here, in this raw sunshine, where we lap
at the groundwater that’s never tasted cement,
we clutch our coffee and obey our dogs
barking at the guard across the street unlocking the DMV.",
"It is time to pass the crowded-subway
test, a day I have been trained for
since I was a five-year-old bent
on growing up. Today I am 
to prove myself a woman 
learned in the art of 
origami: I fold 
myself down 
eight times 
into a
Line.",
"I’m still trying to learn to keep track of time 
as I coax my mother’s lemon-stained violin, 
dustily tuned a quarter-tone sharp,
to narrate the mead-drunken wedding 
of a peasant, a farmer who will soon fall 
into the swirls of the River Vltava. 

When I first crossed over the Vltava,
née Moldau, I was searching for a TYME
machine, which is what I call it when I fall
back into old accents. Two girls played the violin
and a couple fled from their wedding
with something old, something new, something sharp,

like my earliest memory: my mother’s voice sharp
in a hotel by the river, not the Vltava
then but the Mississippi. I was at my first wedding
with bows in my hair, blowing bubbles of time
while Pachelbel’s Canon trickled from a violin.
I saw it was elegant and dull to fall

in love, and I couldn’t wait for fall
and Canada geese. I’d watch the sharp
V wing by and think about violets and violins
and, had I known of it then, the Vltava. 
Since that day, I have been saving my time
to deposit in a hope chest for the wedding

I’d rather not have, a wedding
full of family, friends, and people who fall
in between. I check the time
again and it’s seven-thirty sharp
so I have fifteen more minutes on the Vltava,
riding the crests and the rests on my violin.

I have never noticed how my thinnest violin
string glints silver-white like a wedding
band or the sun on the Vltava.
I have a dozen companions to fall
back upon, so I let F-sharp
go and breathe in. Then it is time

to wipe my violin clean and let a bow hair fall,
too yellow for a wedding veil, too sharp
for a cat to eat. The Vltava will call to me another time.",
"It perches on the undusted mantelpiece, a smiling family 
about to take off, poised to propel itself into the living 
room’s most frequented airway but choosing instead 
to linger because the view from anticipation 
is guaranteed to surpass what comes next
(a turbulent descent, as close to life
as photograph can come).

Somehow the glossy rectangle has remained 
in place, leaning against outmoded wallpaper,
through three seasons, seven months,
two birthday parties, one near-divorce,
never calling attention to itself or slipping 
into the hairline obscurity between wall and mantel,
though even the showpiece, the framed 
family portrait taken by a real photographer, 
has tipped over more than once,
to be rescued from the ignominy
of the floor, its glass still intact.
 
Up there, Season’s Greetings accompany a clipart Christmas 
tree and an equally-large Messiah, infant no longer, 
a dutiful citation of the origin of this ritual of distributing 
benevolent tidings via Walgreens photo cards 
and preprinted labels. The pixelated Christ 
wears an expression of equanimity 
and makes no mention of past failures 
to reciprocate greeting-card goodwill—
because he has forgiven or because he will not.

Among the December armada, this card was unremarkable
and still is, but for the oddity of standing alone,
like one of its five posed figures, many years from now, 
on her own July mantelpiece,
wearing a hat that no longer matches
and gazing outward, unmoving.",
"I fall headlong into darkness,
My watch ticks too fast.
I stand at the top of the stairs
and cry into my teddy bear.

My watch ticks too fast.
Nonno tends to the grill.
I cry into my teddy bear
while Nonna toils over stove.

Nonno tends to the grill
as I stand up in my pajamas.
Nonna toils over the stove
at the bottom of the stairs.

I stand up in my pajamas,
listen to the phone call
at the bottom of the stairs—
Yes, this is she.

I listen to the phone call.
Two whole fish fry, scales and eyes crackling.
Yes, this is she.
Skin sizzles, roasted peppers and eggplant.

Two whole fish fry, scales and eyes crackling.
In my dreams, I tumble toward darkness
and skin sizzles, roasted peppers and eggplant.
Behind me, the lights go out.

In my dreams, I tumble toward darkness,
The couch with leather, peeling skin sits empty
Behind me, the lights go out.
A half-finished game of solitaire sits on the table.

The couch with leather, peeling skin sits empty.
I never hit the ground.
A half-finished game of solitaire sits on the table.
Nonna gasps.

I never hit the ground.
I stand at the top of the stairs.
Nonna gasps.
I fall headlong into darkness.",
